Pallet: "claims", Extrinsic: "claim", Lowest values: [], Highest values: [], Steps: [100], Repeat: 100
u,extrinsic_time,storage_root_time
30,28404000,6670000
30,27973000,6694000
30,28492000,6624000
30,28643000,6990000
30,28516000,6684000
30,28240000,6622000
30,28504000,7096000
30,29226000,6637000
30,28493000,6691000
30,27946000,6623000
30,32211000,8211000
30,28433000,6766000
30,30289000,6797000
30,29916000,7057000
30,28565000,6650000
30,28045000,6647000
30,28731000,6789000
30,28534000,7025000
30,28596000,6777000
30,29268000,6638000
30,28468000,6801000
30,30240000,7638000
30,28145000,6629000
30,29959000,6770000
30,28938000,6768000
30,28540000,6891000
30,29038000,7050000
30,28019000,6640000
30,28725000,6624000
30,27901000,6621000
30,31462000,6836000
30,29504000,6772000
30,28273000,6767000
30,27976000,6878000
30,31691000,7417000
30,28302000,7156000
30,29606000,6769000
30,28921000,6856000
30,28707000,6688000
30,31769000,6622000
30,28564000,6767000
30,28620000,6893000
30,28549000,6778000
30,28149000,6623000
30,32681000,6656000
30,28036000,7236000
30,29539000,6824000
30,28798000,6629000
30,28477000,6655000
30,29386000,6903000
30,28697000,6825000
30,31925000,6812000
30,27770000,6624000
30,28264000,6868000
30,28137000,6695000
30,28087000,6622000
30,28517000,6817000
30,31998000,6613000
30,28005000,6662000
30,35482000,9886000
30,36174000,6952000
30,28151000,6616000
30,28507000,6827000
30,28091000,6628000
30,29042000,6846000
30,28544000,6623000
30,28217000,6637000
30,28796000,6622000
30,28302000,6803000
30,28660000,6833000
30,30917000,6809000
30,28608000,6853000
30,28930000,6818000
30,27834000,6622000
30,29742000,6817000
30,28835000,6664000
30,28059000,6671000
30,28110000,6702000
30,28135000,6766000
30,28658000,6863000
30,28713000,7012000
30,28495000,6856000
30,29358000,6750000
30,28663000,6676000
30,28737000,6773000
30,28442000,6622000
30,32871000,6839000
40,28610000,6826000
40,28514000,6780000
40,28578000,6802000
40,29097000,6643000
40,29447000,6794000
40,29089000,6670000
40,28779000,6666000
40,28020000,6636000
40,28273000,6644000
40,28339000,6650000
40,27780000,6616000
40,32856000,6669000
40,28100000,6641000
40,28055000,6647000
40,28843000,6766000
40,28626000,6638000
40,28055000,6625000
40,29586000,6618000
40,28985000,7025000
40,29010000,6792000
40,30026000,6829000
40,29030000,6838000
40,32081000,7047000
40,28282000,6623000
40,28483000,6817000
40,28420000,6631000
40,30348000,6618000
40,29268000,6796000
40,28701000,7742000
40,27846000,6623000
40,28551000,6774000
40,28466000,6769000
40,28615000,6768000
40,28498000,6621000
40,28638000,6794000
40,28742000,6631000
40,29811000,6623000
40,28514000,6822000
40,28685000,6664000
40,30636000,6945000
40,31796000,7142000
40,29709000,7600000
40,30136000,7131000
40,30408000,6766000
40,28596000,6818000
40,30301000,6856000
40,36496000,8374000
40,32648000,7271000
40,30432000,6981000
40,29850000,7623000
40,31833000,8167000
40,30723000,7455000
40,33243000,7060000
40,30323000,7932000
40,29427000,7427000
40,31879000,6789000
40,35880000,8615000
40,30931000,7426000
40,35696000,9132000
