Pallet: "balances", Extrinsic: "set_balance", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,e,extrinsic_time,storage_root_time
687,1000,369000,110000
687,1000,174000,111000
687,1000,6811000,115000
687,1000,365000,111000
687,1000,147000,106000
687,1000,354000,107000
687,1000,148000,106000
687,1000,146000,107000
687,1000,155000,109000
687,1000,488000,158000
687,1000,174000,123000
687,1000,175000,108000
687,1000,163000,112000
687,1000,417000,124000
687,1000,359000,114000
687,1000,376000,108000
687,1000,151000,111000
687,1000,328000,117000
736,1000,163000,108000
736,1000,359000,107000
736,1000,145000,104000
736,1000,144000,103000
736,1000,366000,116000
736,1000,413000,142000
736,1000,354000,121000
736,1000,401000,107000
736,1000,150000,106000
736,1000,13319000,144000
736,1000,359000,114000
736,1000,144000,104000
736,1000,348000,108000
736,1000,357000,105000
736,1000,354000,105000
736,1000,361000,110000
736,1000,149000,106000
736,1000,143000,106000
736,1000,401000,129000
736,1000,375000,112000
785,1000,402000,118000
785,1000,414000,124000
785,1000,155000,108000
785,1000,530000,153000
785,1000,148000,106000
785,1000,147000,105000
785,1000,417000,133000
785,1000,359000,106000
785,1000,148000,106000
785,1000,417000,130000
785,1000,298000,106000
785,1000,383000,124000
785,1000,13771000,121000
785,1000,153000,109000
785,1000,360000,113000
785,1000,373000,111000
785,1000,506000,128000
785,1000,315000,121000
785,1000,338000,106000
785,1000,356000,107000
834,1000,383000,107000
834,1000,366000,107000
834,1000,337000,115000
834,1000,434000,128000
834,1000,149000,109000
834,1000,332000,106000
834,1000,385000,111000
834,1000,428000,133000
834,1000,351000,118000
834,1000,147000,106000
834,1000,328000,124000
834,1000,152000,109000
834,1000,151000,108000
834,1000,146000,104000
834,1000,287000,107000
834,1000,394000,117000
834,1000,412000,128000
834,1000,360000,114000
834,1000,153000,112000
834,1000,407000,132000
883,1000,337000,96000
883,1000,362000,116000
883,1000,355000,95000
883,1000,309000,96000
883,1000,141000,96000
883,1000,307000,96000
883,1000,142000,94000
883,1000,313000,100000
883,1000,1326000,427000
883,1000,1440000,56622000
883,1000,1364000,429000
883,1000,1414000,429000
883,1000,333000,101000
883,1000,392000,121000
883,1000,143000,97000
883,1000,1970000,603000
883,1000,1382000,431000
883,1000,1254000,415000
883,1000,1363000,422000
883,1000,494000,183000
932,1000,10568000,143000
932,1000,367000,140000
932,1000,395000,119000
932,1000,305000,10047000
932,1000,311000,115000
932,1000,396000,128000
932,1000,338000,112000
932,1000,398000,134000
932,1000,387000,138000
932,1000,150000,111000
932,1000,357000,110000
932,1000,312000,118000
932,1000,157000,117000
932,1000,369000,114000
932,1000,374000,116000
932,1000,359000,116000
932,1000,325000,113000
932,1000,360000,113000
932,1000,155000,6348000
932,1000,359000,112000
981,1000,154000,112000
981,1000,151000,111000
981,1000,365000,114000
981,1000,362000,115000
981,1000,151000,111000
981,1000,153000,112000
981,1000,368000,113000
981,1000,319000,111000
981,1000,16675000,123000
981,1000,323000,118000
981,1000,157000,114000
981,1000,153000,113000
981,1000,156000,116000
981,1000,355000,114000
981,1000,151000,110000
981,1000,361000,114000
981,1000,408000,115000
981,1000,375000,114000
981,1000,151000,113000
981,1000,365000,114000
1000,2,146000,105000
1000,2,374000,130000
1000,2,8158000,142000
1000,2,353000,134000
1000,2,329000,123000
1000,2,355000,131000
1000,2,401000,133000
1000,2,344000,116000
1000,2,385000,129000
1000,2,345000,122000
1000,2,413000,130000
1000,2,402000,186000
1000,2,155000,109000
1000,2,411000,131000
1000,2,11514000,113000
1000,2,388000,124000
1000,2,403000,136000
1000,2,11851000,140000
1000,2,406000,129000
1000,2,359000,109000
1000,51,301000,107000
1000,51,409000,118000
1000,51,351000,129000
1000,51,337000,128000
1000,51,423000,130000
1000,51,377000,119000
1000,51,416000,125000
1000,51,408000,131000
1000,51,156000,114000
1000,51,320000,110000
1000,51,412000,127000
1000,51,364000,128000
1000,51,364000,172000
1000,51,350000,132000
1000,51,415000,130000
1000,51,360000,130000
1000,51,339000,131000
1000,51,402000,127000
1000,51,343000,128000
1000,51,403000,127000
1000,100,401000,133000
1000,100,358000,132000
1000,100,328000,131000
1000,100,406000,133000
1000,100,330000,114000
1000,100,407000,130000
1000,100,450000,130000
1000,100,383000,143000
1000,100,398000,129000
1000,100,304000,105000
1000,100,354000,125000
1000,100,379000,110000
1000,100,412000,129000
1000,100,396000,133000
1000,100,426000,134000
1000,100,414000,129000
1000,100,407000,134000
1000,100,368000,128000
1000,100,346000,118000
1000,100,421000,127000
1000,149,307000,109000
1000,149,360000,129000
1000,149,406000,128000
1000,149,383000,130000
1000,149,363000,121000
1000,149,412000,7541000
1000,149,388000,132000
1000,149,411000,130000
1000,149,423000,135000
1000,149,351000,109000
1000,149,336000,105000
1000,149,395000,128000
1000,149,409000,131000
1000,149,397000,134000
1000,149,360000,110000
1000,149,361000,127000
1000,149,367000,112000
1000,149,390000,133000
1000,149,517000,180000
1000,149,502000,175000
1000,198,366000,134000
1000,198,369000,131000
1000,198,351000,126000
1000,198,282000,105000
1000,198,363000,128000
1000,198,417000,129000
1000,198,414000,133000
1000,198,402000,127000
1000,198,337000,122000
1000,198,388000,130000
1000,198,319000,106000
1000,198,412000,130000
1000,198,509000,186000
1000,198,360000,134000
1000,198,356000,129000
1000,198,387000,131000
1000,198,407000,142000
1000,198,344000,114000
1000,198,391000,124000
1000,198,150000,106000
1000,247,418000,124000
1000,247,350000,105000
1000,247,399000,124000
1000,247,350000,110000
1000,247,5180000,110000
1000,247,151000,107000
1000,247,152000,4990000
1000,247,151000,107000
1000,247,360000,110000
1000,247,364000,109000
1000,247,403000,130000
1000,247,358000,107000
1000,247,347000,106000
1000,247,364000,113000
1000,247,151000,106000
1000,247,150000,106000
1000,247,360000,112000
1000,247,161000,113000
1000,247,312000,108000
1000,247,366000,112000
1000,296,355000,111000
1000,296,302000,107000
1000,296,297000,114000
1000,296,442000,158000
1000,296,148000,107000
1000,296,363000,108000
1000,296,413000,124000
1000,296,399000,133000
1000,296,486000,183000
1000,296,503000,182000
1000,296,432000,183000
1000,296,371000,138000
1000,296,351000,130000
1000,296,352000,129000
1000,296,381000,120000
1000,296,402000,129000
1000,296,400000,125000
1000,296,331000,109000
1000,296,387000,133000
1000,296,400000,126000
1000,345,383000,130000
1000,345,347000,128000
1000,345,379000,122000
1000,345,368000,132000
1000,345,411000,136000
1000,345,322000,113000
1000,345,402000,129000
1000,345,360000,126000
1000,345,300000,107000
1000,345,341000,128000
1000,345,355000,128000
1000,345,348000,127000
1000,345,297000,108000
1000,345,344000,118000
1000,345,6391000,125000
1000,345,393000,130000
1000,345,343000,128000
1000,345,298000,114000
1000,345,356000,133000
1000,345,317000,105000
1000,394,369000,130000
1000,394,354000,111000
1000,394,403000,129000
1000,394,342000,110000
1000,394,157000,113000
1000,394,335000,120000
1000,394,341000,106000
1000,394,4097000,112000
1000,394,408000,123000
1000,394,407000,131000
1000,394,10105000,119000
1000,394,436000,178000
1000,394,357000,127000
1000,394,406000,128000
1000,394,369000,128000
1000,394,413000,127000
1000,394,437000,145000
1000,394,395000,146000
1000,394,145000,105000
1000,394,361000,106000
1000,443,348000,108000
1000,443,356000,107000
1000,443,359000,105000
1000,443,344000,105000
1000,443,349000,108000
1000,443,342000,104000
1000,443,373000,140000
1000,443,351000,104000
1000,443,147000,107000
1000,443,348000,103000
1000,443,385000,111000
1000,443,352000,106000
1000,443,151000,104000
1000,443,14305000,113000
1000,443,6993000,114000
1000,443,152000,109000
1000,443,340000,105000
1000,443,347000,105000
1000,443,316000,105000
1000,443,369000,111000
1000,492,142000,105000
1000,492,465000,117000
1000,492,354000,106000
1000,492,140000,103000
1000,492,402000,121000
1000,492,343000,114000
1000,492,340000,105000
1000,492,148000,105000
1000,492,9500000,154000
1000,492,635000,231000
1000,492,298000,105000
1000,492,338000,104000
1000,492,347000,107000
1000,492,338000,103000
1000,492,289000,106000
1000,492,295000,104000
1000,492,141000,104000
1000,492,143000,104000
1000,492,323000,112000
1000,492,362000,112000
1000,541,359000,110000
1000,541,367000,107000
1000,541,1393000,74531000
1000,541,1398000,457000
1000,541,1376000,465000
1000,541,358000,111000
1000,541,451000,122000
1000,541,413000,153000
1000,541,388000,124000
1000,541,360000,107000
1000,541,468000,136000
1000,541,379000,110000
1000,541,155000,112000
1000,541,412000,132000
1000,541,381000,8930000
1000,541,368000,121000
1000,541,351000,111000
1000,541,318000,115000
1000,541,346000,132000
1000,541,353000,107000
1000,590,362000,108000
1000,590,369000,137000
1000,590,380000,148000
1000,590,350000,106000
1000,590,6716000,114000
1000,590,159000,6305000
1000,590,360000,111000
1000,590,360000,111000
1000,590,362000,109000
1000,590,173000,108000
1000,590,450000,147000
