Pallet: "balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,e,extrinsic_time,storage_root_time
687,1000,633000,139000
687,1000,431000,139000
687,1000,421000,137000
687,1000,430000,142000
687,1000,414000,143000
687,1000,635000,139000
687,1000,10950000,157000
687,1000,19488000,176000
687,1000,636000,136000
687,1000,10495000,142000
687,1000,420000,137000
687,1000,640000,136000
687,1000,713000,180000
687,1000,408000,138000
687,1000,648000,140000
687,1000,412000,137000
687,1000,484000,154000
687,1000,411000,138000
687,1000,581000,11460000
736,1000,744000,175000
736,1000,9869000,148000
736,1000,677000,165000
736,1000,421000,146000
736,1000,411000,142000
736,1000,611000,186000
736,1000,629000,142000
736,1000,413000,140000
736,1000,420000,144000
736,1000,436000,150000
736,1000,691000,169000
736,1000,447000,151000
736,1000,720000,162000
736,1000,698000,160000
736,1000,4352000,145000
736,1000,697000,159000
736,1000,733000,171000
736,1000,743000,172000
736,1000,403000,142000
736,1000,656000,154000
785,1000,755000,164000
785,1000,708000,161000
785,1000,745000,155000
785,1000,499000,170000
785,1000,608000,137000
785,1000,729000,169000
785,1000,505000,14439000
785,1000,712000,157000
785,1000,14484000,149000
785,1000,818000,170000
785,1000,758000,162000
785,1000,678000,158000
785,1000,415000,136000
785,1000,459000,141000
785,1000,645000,155000
785,1000,446000,152000
785,1000,641000,138000
785,1000,988000,216000
785,1000,440000,143000
785,1000,746000,167000
834,1000,745000,178000
834,1000,763000,182000
834,1000,746000,177000
834,1000,704000,172000
834,1000,747000,175000
834,1000,905000,189000
834,1000,624000,164000
834,1000,411000,145000
834,1000,643000,147000
834,1000,698000,170000
834,1000,640000,150000
834,1000,412000,146000
834,1000,430000,146000
834,1000,18938000,157000
834,1000,887000,190000
834,1000,655000,148000
834,1000,701000,172000
834,1000,681000,151000
834,1000,398000,143000
834,1000,680000,172000
883,1000,430000,142000
883,1000,456000,138000
883,1000,508000,165000
883,1000,5112000,147000
883,1000,469000,157000
883,1000,731000,8374000
883,1000,460000,149000
883,1000,753000,166000
883,1000,992000,210000
883,1000,714000,167000
883,1000,704000,172000
883,1000,707000,166000
883,1000,700000,179000
883,1000,729000,177000
883,1000,436000,142000
883,1000,650000,7718000
883,1000,548000,170000
883,1000,425000,143000
883,1000,450000,146000
883,1000,423000,155000
932,1000,693000,147000
932,1000,911000,175000
932,1000,429000,143000
932,1000,598000,126000
932,1000,455000,162000
932,1000,396000,132000
932,1000,655000,152000
932,1000,713000,156000
932,1000,396000,131000
932,1000,596000,137000
932,1000,401000,135000
932,1000,626000,141000
932,1000,403000,135000
932,1000,404000,5931000
932,1000,406000,5825000
932,1000,638000,134000
932,1000,387000,127000
932,1000,626000,129000
932,1000,397000,125000
932,1000,603000,130000
981,1000,467000,158000
981,1000,404000,158000
981,1000,661000,157000
981,1000,414000,136000
981,1000,413000,137000
981,1000,656000,446000
981,1000,460000,155000
981,1000,724000,158000
981,1000,633000,138000
981,1000,422000,6402000
981,1000,683000,155000
981,1000,5317000,138000
981,1000,434000,138000
981,1000,416000,136000
981,1000,700000,160000
981,1000,712000,157000
981,1000,456000,135000
981,1000,559000,138000
981,1000,410000,131000
981,1000,405000,130000
1000,2,429000,145000
1000,2,570000,139000
1000,2,703000,149000
1000,2,414000,138000
1000,2,753000,165000
1000,2,8013000,455000
1000,2,734000,167000
1000,2,412000,133000
1000,2,682000,166000
1000,2,670000,143000
1000,2,710000,153000
1000,2,393000,136000
1000,2,707000,164000
1000,2,442000,150000
1000,2,626000,135000
1000,2,397000,136000
1000,2,610000,141000
1000,2,5871000,433000
1000,2,628000,141000
1000,2,425000,140000
1000,51,624000,137000
1000,51,633000,141000
1000,51,402000,139000
1000,51,614000,138000
1000,51,635000,153000
1000,51,391000,136000
1000,51,833000,171000
1000,51,630000,206000
1000,51,638000,157000
1000,51,659000,152000
1000,51,385000,135000
1000,51,580000,138000
1000,51,488000,154000
1000,51,414000,141000
1000,51,11393000,398000
1000,51,618000,137000
1000,51,399000,138000
1000,51,595000,136000
1000,51,642000,137000
1000,51,462000,152000
1000,100,404000,139000
1000,100,597000,134000
1000,100,637000,138000
1000,100,399000,138000
1000,100,584000,134000
1000,100,407000,132000
1000,100,616000,137000
1000,100,409000,134000
1000,100,419000,142000
1000,100,407000,136000
1000,100,12484000,454000
1000,100,633000,138000
1000,100,396000,132000
1000,100,408000,136000
1000,100,613000,135000
1000,100,723000,180000
1000,100,732000,162000
1000,100,667000,156000
1000,100,410000,143000
1000,100,590000,135000
1000,149,606000,159000
1000,149,691000,160000
1000,149,631000,148000
1000,149,487000,162000
1000,149,423000,141000
1000,149,401000,407000
1000,149,422000,139000
1000,149,723000,163000
1000,149,623000,134000
1000,149,636000,136000
1000,149,644000,138000
1000,149,672000,150000
1000,149,400000,135000
1000,149,602000,135000
1000,149,614000,137000
1000,149,716000,156000
1000,149,414000,134000
1000,149,638000,143000
1000,149,834000,189000
1000,149,659000,166000
1000,198,423000,142000
1000,198,634000,139000
1000,198,4988000,139000
1000,198,403000,135000
1000,198,622000,136000
1000,198,398000,133000
1000,198,698000,161000
1000,198,397000,132000
1000,198,713000,162000
1000,198,677000,144000
1000,198,403000,138000
1000,198,613000,135000
1000,198,391000,138000
1000,198,419000,137000
1000,198,604000,142000
1000,198,624000,141000
1000,198,7538000,143000
1000,198,12749000,440000
1000,198,605000,135000
1000,198,414000,134000
1000,247,391000,131000
1000,247,598000,138000
1000,247,388000,132000
1000,247,641000,143000
1000,247,595000,160000
1000,247,611000,134000
1000,247,373000,133000
1000,247,702000,160000
1000,247,601000,137000
1000,247,5194000,140000
1000,247,667000,163000
1000,247,380000,140000
1000,247,383000,134000
1000,247,7177000,359000
1000,247,667000,151000
1000,247,403000,481000
1000,247,417000,158000
1000,247,395000,136000
1000,247,683000,170000
1000,247,378000,137000
1000,296,406000,150000
1000,296,402000,134000
1000,296,720000,168000
1000,296,580000,153000
1000,296,630000,186000
1000,296,429000,142000
1000,296,11165000,474000
1000,296,624000,139000
1000,296,424000,145000
1000,296,750000,164000
1000,296,428000,145000
1000,296,405000,136000
1000,296,411000,137000
1000,296,422000,141000
1000,296,444000,145000
1000,296,442000,142000
1000,296,425000,140000
1000,296,414000,140000
1000,296,417000,141000
1000,296,407000,157000
1000,345,416000,139000
1000,345,902000,189000
1000,345,414000,137000
1000,345,7458000,138000
1000,345,688000,164000
1000,345,394000,135000
1000,345,657000,142000
1000,345,462000,163000
1000,345,403000,136000
1000,345,393000,139000
1000,345,392000,134000
1000,345,666000,160000
1000,345,621000,138000
1000,345,627000,139000
1000,345,11919000,453000
1000,345,396000,138000
1000,345,392000,11322000
1000,345,413000,139000
1000,345,627000,136000
1000,345,650000,139000
1000,394,389000,137000
1000,394,682000,155000
1000,394,394000,137000
1000,394,613000,134000
1000,394,382000,135000
1000,394,646000,138000
1000,394,616000,137000
1000,394,604000,137000
1000,394,2034000,143000
1000,394,404000,142000
1000,394,6945000,417000
1000,394,5898000,428000
1000,394,5700000,377000
1000,394,13058000,449000
1000,394,675000,142000
1000,394,619000,152000
1000,394,391000,137000
1000,394,418000,143000
1000,394,748000,162000
1000,394,614000,137000
1000,443,405000,138000
1000,443,617000,136000
1000,443,698000,152000
1000,443,615000,140000
1000,443,15558000,385000
1000,443,400000,139000
1000,443,621000,133000
1000,443,634000,138000
1000,443,410000,138000
1000,443,668000,166000
1000,443,621000,136000
1000,443,416000,138000
1000,443,405000,157000
1000,443,397000,134000
1000,443,616000,137000
1000,443,383000,134000
1000,443,396000,139000
1000,443,677000,151000
1000,443,681000,152000
1000,443,415000,6652000
1000,492,433000,145000
1000,492,6071000,418000
1000,492,646000,7246000
1000,492,7833000,203000
1000,492,12787000,155000
1000,492,418000,136000
1000,492,392000,135000
1000,492,614000,154000
1000,492,388000,133000
1000,492,591000,135000
1000,492,638000,151000
1000,492,434000,150000
1000,492,621000,138000
1000,492,407000,134000
1000,492,394000,134000
1000,492,618000,157000
1000,492,655000,138000
1000,492,16024000,145000
1000,492,729000,165000
1000,492,419000,150000
1000,541,7023000,414000
1000,541,397000,133000
1000,541,634000,468000
1000,541,643000,143000
1000,541,628000,132000
1000,541,679000,162000
1000,541,403000,132000
1000,541,724000,157000
1000,541,630000,138000
1000,541,676000,163000
1000,541,5819000,368000
1000,541,488000,185000
1000,541,634000,159000
1000,541,406000,138000
1000,541,5678000,414000
1000,541,646000,137000
1000,541,4956000,378000
1000,541,630000,137000
1000,541,404000,141000
1000,541,642000,191000
1000,590,585000,136000
1000,590,583000,137000
1000,590,394000,138000
1000,590,618000,172000
1000,590,385000,137000
1000,590,387000,134000
1000,590,596000,139000
1000,590,723000,167000
1000,590,406000,137000
1000,590,417000,136000
1000,590,640000,135000
1000,590,628000,133000
1000,590,625000,134000
1000,590,393000,141000
1000,590,621000,136000
1000,590,696000,151000
1000,590,809000,174000
1000,590,653000,150000
1000,590,443000,153000
1000,590,388000,142000
1000,639,620000,136000
1000,639,399000,143000
1000,639,405000,141000
1000,639,15055000,400000
1000,639,6280000,352000
1000,639,415000,137000
1000,639,627000,137000
1000,639,635000,139000
1000,639,634000,136000
1000,639,424000,146000
1000,639,435000,137000
1000,639,636000,137000
1000,639,390000,141000
1000,639,411000,139000
1000,639,624000,141000
1000,639,410000,142000
1000,639,10540000,445000
1000,639,691000,158000
1000,639,627000,140000
1000,639,406000,131000
1000,688,13806000,437000
1000,688,470000,157000
1000,688,439000,376000
1000,688,961000,215000
1000,688,411000,135000
1000,688,400000,137000
1000,688,642000,142000
1000,688,396000,136000
1000,688,409000,137000
1000,688,422000,135000
1000,688,395000,147000
1000,688,610000,144000
1000,688,399000,137000
1000,688,9177000,392000
1000,688,672000,150000
1000,688,617000,136000
1000,688,7520000,439000
1000,688,399000,131000
1000,688,592000,139000
1000,688,405000,135000
1000,737,644000,156000
1000,737,618000,136000
1000,737,658000,140000
1000,737,567000,133000
1000,737,703000,155000
1000,737,561000,7589000
1000,737,6947000,391000
1000,737,10613000,475000
1000,737,6227000,429000
1000,737,630000,136000
1000,737,13497000,144000
1000,737,410000,153000
1000,737,407000,132000
1000,737,609000,136000
1000,737,590000,138000
1000,737,399000,136000
1000,737,599000,149000
1000,737,590000,131000
1000,737,601000,135000
1000,737,563000,140000
1000,786,597000,137000
1000,786,5042000,381000
1000,786,409000,139000
1000,786,7312000,433000
1000,786,684000,142000
1000,786,11426000,142000
1000,786,1012000,219000
1000,786,606000,136000
1000,786,638000,138000
1000,786,615000,136000
1000,786,385000,132000
1000,786,381000,133000
1000,786,416000,140000
1000,786,393000,134000
1000,786,393000,135000
1000,786,9057000,453000
1000,786,719000,173000
1000,786,6124000,417000
1000,786,9804000,507000
1000,786,11614000,425000
1000,835,479000,151000
1000,835,651000,135000
1000,835,651000,145000
1000,835,618000,164000
1000,835,613000,138000
1000,835,735000,160000
1000,835,469000,150000
1000,835,713000,152000
1000,835,621000,137000
1000,835,705000,159000
1000,835,624000,158000
1000,835,8676000,377000
1000,835,631000,144000
1000,835,420000,144000
1000,835,769000,160000
1000,835,647000,138000
1000,835,696000,148000
1000,835,634000,142000
1000,835,411000,137000
1000,835,643000,142000
1000,884,654000,143000
1000,884,597000,137000
1000,884,420000,140000
1000,884,640000,177000
1000,884,611000,137000
1000,884,656000,146000
1000,884,6636000,431000
1000,884,401000,162000
1000,884,7924000,372000
1000,884,444000,4999000
1000,884,10158000,469000
1000,884,611000,135000
1000,884,645000,139000
1000,884,385000,137000
1000,884,620000,139000
1000,884,374000,132000
1000,884,415000,139000
1000,884,609000,137000
1000,884,395000,141000
1000,884,660000,146000
1000,933,615000,140000
1000,933,397000,153000
1000,933,668000,149000
1000,933,738000,163000
1000,933,3367000,141000
1000,933,704000,165000
1000,933,630000,134000
1000,933,12910000,380000
1000,933,412000,134000
1000,933,617000,440000
1000,933,734000,167000
1000,933,410000,137000
1000,933,418000,163000
1000,933,629000,134000
1000,933,458000,146000
1000,933,616000,141000
1000,933,622000,140000
1000,933,403000,133000
1000,933,402000,138000
1000,933,998000,527000
1000,982,407000,138000
1000,982,11922000,429000
1000,982,597000,136000
1000,982,6318000,449000
1000,982,732000,160000
1000,982,390000,136000
1000,982,685000,150000
1000,982,408000,142000
1000,982,627000,136000
1000,982,403000,136000
1000,982,633000,147000
1000,982,618000,141000
1000,982,12151000,408000
1000,982,601000,139000
1000,982,654000,143000
1000,982,424000,138000
1000,982,554000,139000
1000,982,630000,137000
1000,982,409000,134000
1000,982,895000,190000

Median Slopes Analysis
========

Model:
Time ~=    678.9
    + u        0
    + e    0.018
              µs

Min Squares Analysis
========

Data points distribution:
    u     e   mean µs  sigma µs       %
    1  1000     699.9     28.73    4.1%
   50  1000     683.8     38.51    5.6%
   99  1000     737.4     32.19    4.3%
  148  1000     698.7      31.4    4.4%
  197  1000     697.7     19.97    2.8%
  246  1000     605.4     102.2   16.8%
  295  1000     654.1     73.78   11.2%
  344  1000     532.7     102.6   19.2%
  393  1000       673     31.56    4.6%
  442  1000     649.4       102   15.7%
  491  1000     709.6     31.12    4.3%
  540  1000     626.5     120.8   19.2%
  589  1000     696.5      35.8    5.1%
  638  1000     661.8     39.52    5.9%
  687  1000     531.1     96.67   18.2%
  736  1000     626.2     97.55   15.5%
  785  1000     671.7     71.17   10.5%
  834  1000     689.3     35.56    5.1%
  883  1000     591.6     107.5   18.1%
  932  1000     514.6     96.73   18.7%
  981  1000     516.4     95.31   18.4%
 1000     2     606.7     94.81   15.6%
 1000    51     587.9     59.04   10.0%
 1000   100     527.9     95.96   18.1%
 1000   149       614     45.48    7.4%
 1000   198     563.5      96.8   17.1%
 1000   247     531.9     108.6   20.4%
 1000   296     442.5     46.72   10.5%
 1000   345       529     108.8   20.5%
 1000   394     623.5      80.6   12.9%
 1000   443       537     102.6   19.1%
 1000   492     566.9     92.12   16.2%
 1000   541     644.2     17.62    2.7%
 1000   590     552.2     86.96   15.7%
 1000   639     545.2     101.4   18.6%
 1000   688     501.7     95.03   18.9%
 1000   737     610.6     26.02    4.2%
 1000   786      1645      1988  120.8%
 1000   835     641.6     21.51    3.3%
 1000   884     585.1      78.6   13.4%
 1000   933     597.7     84.65   14.1%
 1000   982     602.3     67.99   11.2%

Quality and confidence:
param     error
u         0.066
e         0.066

Model:
Time ~=    569.9
    + u        0
    + e    0.098
              µs
